iter	Logloss	Accuracy
0	0.3526188374	0.8770027243
1	0.2961796399	0.8770027243
2	0.2802453931	0.8770027243
3	0.2725484473	0.8770027243
4	0.2679253888	0.8770027243
5	0.2657366833	0.8770027243
6	0.2645114283	0.8770027243
7	0.263790803	0.8770026156
8	0.2631581755	0.8770005513
9	0.2625498466	0.8770019637
10	0.2621301176	0.8770143499
11	0.2616626687	0.8770836688
12	0.2614384921	0.8770960549
13	0.261194511	0.8771509233
14	0.2609769906	0.8771541829
15	0.2606636629	0.877273155
16	0.2604826505	0.8772860843
17	0.2603006044	0.8773555119
18	0.2601388886	0.8774165734
19	0.2600185456	0.8774233097
20	0.2598650905	0.8774451484
21	0.2596851418	0.8774593816
22	0.2594002136	0.8775365234
23	0.2592843054	0.87758107
24	0.2592141075	0.877596281
25	0.2590200316	0.8776424574
26	0.2588721528	0.8776729882
